iter	Passed	Remaining
0	8	8208
1	16	8377
2	26	8839
3	36	9038
4	46	9289
5	56	9326
6	66	9398
7	75	9401
8	85	9429
9	95	9503
10	106	9554
11	116	9597
12	126	9634
13	137	9653
14	147	9657
15	157	9678
16	166	9650
17	177	9700
18	188	9742
19	201	9859
20	212	9890
21	222	9893
22	233	9897
23	242	9861
24	253	9882
25	263	9862
26	273	9851
27	283	9840
28	293	9838
29	303	9803
30	313	9811
31	323	9788
32	333	9772
33	343	9772
34	353	9737
35	364	9750
36	373	9722
37	384	9727
38	396	9773
39	417	10023
40	434	10151
41	444	10129
42	454	10113
43	463	10081
44	474	10063
45	484	10042
46	494	10023
47	503	9988
48	513	9963
49	523	9942
50	532	9908
51	542	9893
52	552	9865
53	561	9838
54	571	9812
55	580	9787
56	590	9768
57	598	9721
58	607	9691
59	617	9677
60	626	9650
61	636	9625
62	646	9611
63	655	9588
64	664	9558
65	673	9531
66	683	9513
67	694	9511
68	703	9486
69	712	9465
70	721	9435
71	730	9409
72	738	9382
73	748	9360
74	757	9338
75	765	9311
76	774	9282
77	783	9259
78	791	9228
79	800	9207
80	809	9188
81	818	9165
82	827	9144
83	836	9125
84	845	9103
85	854	9085
86	863	9060
87	872	9037
88	880	9016
89	891	9011
90	900	8994
91	910	8981
92	918	8960
93	927	8940
94	936	8918
95	945	8905
96	954	8889
97	963	8869
98	972	8851
99	981	8831
100	990	8813
101	999	8803
102	1008	8783
103	1017	8764
104	1026	8746
105	1034	8728
106	1044	8717
107	1053	8701
108	1062	8688
109	1071	8672
110	1080	8656
111	1090	8646
112	1100	8636
113	1110	8630
114	1120	8626
115	1129	8610
116	1138	8596
117	1149	8590
118	1158	8578
119	1167	8564
120	1176	8547
121	1186	8535
122	1195	8521
123	1204	8509
124	1214	8503
125	1223	8488
126	1232	8473
127	1242	8463
128	1252	8453
129	1261	8444
130	1270	8430
131	1280	8419
132	1291	8420
133	1301	8412
134	1310	8396
135	1323	8405
136	1333	8398
137	1348	8421
138	1369	8483
139	1393	8557
140	1406	8567
141	1415	8554
142	1426	8546
143	1436	8540
144	1447	8533
145	1457	8522
146	1467	8516
147	1477	8503
148	1487	8493
149	1496	8482
150	1506	8472
151	1516	8459
152	1526	8449
153	1535	8436
154	1544	8421
155	1553	8406
156	1562	8389
157	1571	8373
158	1579	8355
159	1589	8344
160	1599	8332
161	1607	8317
162	1616	8301
163	1625	8285
164	1634	8269
165	1643	8256
166	1652	8244
167	1660	8225
168	1669	8211
169	1678	8193
170	1687	8179
171	1696	8167
172	1705	8152
173	1714	8138
174	1723	8125
175	1732	8112
176	1741	8097
177	1750	8082
178	1758	8066
179	1768	8054
180	1777	8041
181	1788	8036
182	1798	8029
183	1807	8016
184	1816	8004
185	1826	7991
186	1835	7979
187	1844	7967
188	1853	7954
189	1862	7939
190	1871	7926
191	1880	7911
192	1888	7894
193	1897	7882
194	1906	7871
195	1915	7858
196	1924	7845
197	1934	7833
198	1942	7820
199	1951	7804
200	1960	7793
201	1969	7779
202	1978	7765
203	1987	7754
204	1996	7742
205	2005	7730
206	2014	7717
207	2023	7703
208	2031	7690
209	2041	7678
210	2049	7663
211	2058	7650
212	2066	7637
213	2075	7622
214	2083	7608
215	2092	7596
216	2101	7582
217	2110	7570
218	2119	7558
219	2128	7547
220	2137	7534
221	2146	7521
222	2155	7509
223	2164	7496
224	2173	7485
225	2182	7472
226	2190	7458
227	2199	7447
228	2208	7434
229	2217	7424
230	2227	7414
231	2236	7402
232	2245	7392
233	2254	7380
234	2263	7368
235	2272	7357
236	2282	7347
237	2292	7339
238	2302	7330
239	2311	7318
240	2321	7312
241	2331	7302
242	2340	7291
243	2349	7280
244	2359	7270
245	2369	7261
246	2378	7251
247	2388	7241
248	2397	7232
249	2407	7221
250	2417	7214
251	2426	7203
252	2436	7194
253	2445	7183
254	2455	7172
255	2463	7160
256	2473	7151
257	2483	7141
258	2492	7130
259	2503	7124
260	2513	7115
261	2522	7104
262	2531	7093
263	2540	7082
264	2550	7074
265	2560	7064
266	2570	7056
267	2579	7046
268	2589	7037
269	2599	7026
270	2608	7017
271	2618	7007
272	2627	6996
273	2637	6987
274	2646	6977
275	2656	6968
276	2665	6958
277	2675	6947
278	2685	6939
279	2694	6928
280	2704	6921
281	2714	6910
282	2723	6900
283	2733	6891
284	2742	6879
285	2751	6869
286	2761	6860
287	2770	6848
288	2779	6837
289	2789	6829
290	2798	6819
291	2808	6808
292	2817	6797
293	2826	6787
294	2836	6778
295	2846	6768
296	2854	6757
297	2864	6746
298	2873	6736
299	2882	6726
300	2892	6718
301	2901	6707
302	2911	6698
303	2921	6689
304	2931	6679
305	2940	6669
306	2951	6661
307	2961	6653
308	2970	6642
309	2979	6631
310	2989	6622
311	2999	6613
312	3008	6604
313	3018	6593
314	3027	6583
315	3037	6574
316	3046	6563
317	3056	6554
318	3065	6544
319	3074	6533
320	3083	6522
321	3093	6513
322	3102	6502
323	3111	6492
324	3121	6482
325	3131	6473
326	3140	6463
327	3150	6454
328	3159	6443
329	3168	6433
330	3177	6422
331	3186	6411
332	3195	6400
333	3204	6389
334	3213	6378
335	3221	6367
336	3230	6356
337	3239	6345
338	3249	6335
339	3258	6324
340	3266	6313
341	3275	6302
342	3284	6292
343	3293	6281
344	3302	6270
345	3312	6260
346	3321	6249
347	3330	6239
348	3338	6228
349	3348	6217
350	3356	6205
351	3365	6195
352	3374	6185
353	3383	6174
354	3392	6163
355	3400	6151
356	3410	6142
357	3419	6132
358	3428	6122
359	3437	6111
360	3445	6099
361	3455	6089
362	3464	6078
363	3473	6068
364	3481	6057
365	3490	6046
366	3501	6038
367	3510	6029
368	3519	6018
369	3528	6008
